Rating|id|Short-Info|Purpose|More-Info
2.0|6632|Dimethicone PEG-8 Polyacrylate is a siloxane polymer obtained by free radicalpolymerization of PEG-8 Dimethicone (q.v.) esterified with acrylic acid.|film former, plasticizer, surfactant - suspending agent, film forming, plasticiser, and surfactant|https://www.ewg.org/skindeep/ingredients/702035-DIMETHICONE_PEG8_POLYACRYLATE/
1|6633|||https://www.ewg.org/skindeep/ingredients/702195-DMD_HYDANTOIN/
1|6634|Domiphen Bromide is a quaternary ammonium salt.|cosmetic biocide, deodorant agent, oral care agent, preservative, antimicrobial, antiplaque, deodorant, and oral care|https://www.ewg.org/skindeep/ingredients/702203-DOMIPHEN_BROMIDE/
1|6635|||https://www.ewg.org/skindeep/ingredients/702673-GLYCINE_SOJA_SOYBEAN_ISOFLAVONES/
1|6636|||https://www.ewg.org/skindeep/ingredients/702857-HIBISCUS_SABDARIFFA_ROSELLE_FLOWER_WATER/
1|6637||skin conditioning|https://www.ewg.org/skindeep/ingredients/703626-LUFFA_CYLINDRICA_LUFFA_AEGYPTIACA_FRUIT_EXTRACT/
1|6638|Methylsilanol Carboxymethyl Theophylline Alginate is a reaction product of MethylsilanolCarboxymethyl Theophylline (q.v.) and Alginic Acid (q.v.).|not reported and skin conditioning|https://www.ewg.org/skindeep/ingredients/703944-METHYLSILANOL_CARBOXYMETHYL_THEOPHYLLINE_ALGINATE/
1|6639|Nelumbo Nucifera Root Water is an aqueous solution of the steam distillate obtained from theroots of Nelumbo nucifera.||https://www.ewg.org/skindeep/ingredients/704111-NELUMBO_NUCIFERA_SACRED_WATER_LOTUS_ROOT_EXTRACT/
1|6640|||https://www.ewg.org/skindeep/ingredients/704374-OXYD8/
2.0|6641|PEG-8 Caprylate/Caprate is a polyethylene glycol ester of a mixture of caprylic and capricacids.|surfactant - emulsifying agent and emulsifying|https://www.ewg.org/skindeep/ingredients/704658-PEG8_CAPRYLATE_CAPRATE/
